日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/8/22,119.1,181.98,116.47,76.47,79.35,12.76,15.69,15.79,64.75,55.75,10.92,316.42,15.27,2.47,2.3,68.03,2.83,397.4,31.77,32.43,12.17,1.37,3.52
2002/8/23,119.9,182.25,116.17,76.88,78.89,12.65,15.66,15.72,64.91,56.13,11.06,318.54,15.37,2.49,2.31,68.17,2.83,399.67,31.99,32.65,12.21,1.38,3.54
2002/8/26,119.5,182.08,116.32,76.68,79.04,12.65,15.67,15.71,64.96,55.89,11.04,317.48,15.32,2.48,2.29,68.14,2.83,397.14,31.88,32.54,12.15,1.36,3.52
2002/8/27,119.7,182.12,116.43,77.07,79.1,12.78,15.69,15.78,65.51,56.37,11.1,318.01,15.35,2.48,2.3,68.11,2.83,397.67,31.93,32.6,12.19,1.35,3.51
2002/8/28,118.3,181.29,116.21,76.11,79.25,12.7,15.66,15.75,65.48,55.96,11.26,314.29,15.17,2.45,2.28,67.68,2.81,393.68,31.56,32.22,11.96,1.34,3.47
2002/8/29,118.9,182.51,116.44,76.13,79.23,12.77,15.7,15.79,65.59,55.8,11.24,315.89,15.24,2.47,2.3,67.85,2.8,396.99,31.72,32.38,12.02,1.36,3.49
2002/8/30,117.95,182.53,116.11,75.68,78.95,12.7,15.66,15.74,65.1,55.31,11.13,313.36,15.12,2.45,2.29,67.43,2.79,393.95,31.47,32.12,11.92,1.35,3.47
2002/9/2,118.7,183.99,116.42,76.09,79.11,12.65,15.69,15.74,65.17,55.63,11.21,315.27,15.22,2.46,2.3,67.79,2.81,394.88,31.67,32.32,11.99,1.35,3.48
2002/9/3,118.15,183.17,116.32,75.89,79.05,12.56,15.68,15.68,65.11,55.59,11.16,313.89,15.15,2.45,2.29,67.58,2.8,393.31,31.52,32.17,11.91,1.35,3.46
2002/9/4,117.25,183.44,116.78,75.54,79.78,12.5,15.74,15.66,63.91,54.58,10.89,311.67,15.03,2.43,2.27,67.23,2.79,391.09,31.28,31.93,11.71,1.34,3.43
2002/9/5,118.15,184.93,117.11,75.37,80.12,12.64,15.78,15.84,64.4,55.03,11.12,314.06,15.15,2.46,2.29,67.57,2.8,395.15,31.52,32.18,11.85,1.35,3.46
2002/9/6,118.6,185.95,117.65,75.45,80.61,12.73,15.86,15.98,64.33,55.28,11.26,315.26,15.21,2.46,2.3,67.85,2.81,396.66,31.64,32.3,11.87,1.36,3.49
2002/9/9,118.7,184.91,116.46,76.1,79.88,12.68,15.7,15.82,64.96,55.77,11.25,315.52,15.22,2.46,2.3,67.81,2.81,395.27,31.67,32.33,11.88,1.35,3.49
2002/9/10,118.85,184.87,116.48,75.99,79.88,12.69,15.69,15.83,65.31,55.91,11.35,315.92,15.24,2.47,2.3,67.91,2.81,395.51,31.71,32.35,11.95,1.36,3.49
2002/9/11,119.8,186.44,116.79,76.18,79.98,12.73,15.74,15.83,65.71,56.27,11.3,318.45,15.36,2.49,2.31,68.18,2.83,399.73,31.96,32.63,12.02,1.36,3.51
2002/9/12,120.35,186.98,117.47,76.07,80.17,12.82,15.83,15.93,66.02,57.05,11.43,319.91,15.43,2.5,2.33,68.5,2.83,401.43,32.11,32.78,12.07,1.37,3.51
2002/9/13,119.8,186.97,117.7,75.52,80.16,12.77,15.86,16.01,66.09,56.85,11.5,318.45,15.36,2.49,2.32,68.21,2.83,400,31.96,32.63,12.03,1.36,3.5
2002/9/17,122.4,188.52,118.3,77.32,80.38,13,15.94,16.15,67.21,57.72,11.44,325.36,15.69,2.54,2.34,68.89,2.84,406.1,32.65,33.33,12.28,1.37,3.54
2002/9/18,122.1,188.11,118.83,77.21,80.76,13.01,16.01,16.2,66.67,57.08,11.6,324.56,15.66,2.53,2.34,68.73,2.84,405.24,32.57,33.25,12.24,1.36,3.53
